antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Imported Mineral Water'}),frozenset({'Chocolate Peppermint Stick Bar'}),0.004936530324400564,0.004936530324400564,0.004936530324400564,1.0,202.57142857142856,1.0,0.004912160992756838,inf,1.0,1.0,1.0,1.0
frozenset({'Chocolate Peppermint Stick Bar'}),frozenset({'Imported Mineral Water'}),0.004936530324400564,0.004936530324400564,0.004936530324400564,1.0,202.57142857142856,1.0,0.004912160992756838,inf,1.0,1.0,1.0,1.0
"frozenset({'Light and Lean Quinoa Black Beans with Butternut Squash and Chard', 'Organic Cottage Cheese Blueberry Acai Chia'})",frozenset({'Organic Strawberry Chia Lowfat 2% Cottage Cheese'}),0.004936530324400564,0.005641748942172073,0.004936530324400564,1.0,177.25,1.0,0.004908679659664877,inf,0.9992912827781716,0.8749999999999999,1.0,0.9375
"frozenset({'Light and Lean Quinoa Black Beans with Butternut Squash and Chard', 'Organic Strawberry Chia Lowfat 2% Cottage Cheese'})",frozenset({'Organic Cottage Cheese Blueberry Acai Chia'}),0.004936530324400564,0.005641748942172073,0.004936530324400564,1.0,177.25,1.0,0.004908679659664877,inf,0.9992912827781716,0.8749999999999999,1.0,0.9375
frozenset({'Organic Strawberry Chia Lowfat 2% Cottage Cheese'}),"frozenset({'Light and Lean Quinoa Black Beans with Butternut Squash and Chard', 'Organic Cottage Cheese Blueberry Acai Chia'})",0.005641748942172073,0.004936530324400564,0.004936530324400564,0.875,177.25,1.0,0.004908679659664877,7.9605077574047955,1.0,0.8749999999999999,0.8743798724309001,0.9375
frozenset({'Organic Cottage Cheese Blueberry Acai Chia'}),"frozenset({'Light and Lean Quinoa Black Beans with Butternut Squash and Chard', 'Organic Strawberry Chia Lowfat 2% Cottage Cheese'})",0.005641748942172073,0.004936530324400564,0.004936530324400564,0.875,177.25,1.0,0.004908679659664877,7.9605077574047955,1.0,0.8749999999999999,0.8743798724309001,0.9375
frozenset({'Organic Strawberry Chia Lowfat 2% Cottage Cheese'}),frozenset({'Organic Cottage Cheese Blueberry Acai Chia'}),0.005641748942172073,0.005641748942172073,0.005641748942172073,1.0,177.25,1.0,0.005609919611045573,inf,1.0,1.0,1.0,1.0
frozenset({'Organic Cottage Cheese Blueberry Acai Chia'}),frozenset({'Organic Strawberry Chia Lowfat 2% Cottage Cheese'}),0.005641748942172073,0.005641748942172073,0.005641748942172073,1.0,177.25,1.0,0.005609919611045573,inf,1.0,1.0,1.0,1.0
frozenset({'Hazelnut Bite Size Wafer Cookies'}),"frozenset({'Antimo Caputo Flour', 'Strawberry Preserves'})",0.005641748942172073,0.004936530324400564,0.004936530324400564,0.875,177.25,1.0,0.004908679659664877,7.9605077574047955,1.0,0.8749999999999999,0.8743798724309001,0.9375
"frozenset({'Antimo Caputo Flour', 'Strawberry Preserves'})",frozenset({'Hazelnut Bite Size Wafer Cookies'}),0.004936530324400564,0.005641748942172073,0.004936530324400564,1.0,177.25,1.0,0.004908679659664877,inf,0.9992912827781716,0.8749999999999999,1.0,0.9375
frozenset({'Organic String Cheese'}),"frozenset({'Pistachios', 'Original Beef Jerky'})",0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
"frozenset({'Original Beef Jerky', 'Organic String Cheese'})",frozenset({'Pistachios'}),0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
frozenset({'Pistachios'}),"frozenset({'Organic String Cheese', 'Soda'})",0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
"frozenset({'Organic String Cheese', 'Soda'})",frozenset({'Pistachios'}),0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
frozenset({'Pistachios'}),"frozenset({'Original Beef Jerky', 'Organic String Cheese', 'Soda'})",0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
"frozenset({'Vanilla Skyr Nonfat Yogurt', 'Gluten Free Mushroom Risotto Bowl'})",frozenset({'Organic Dried Granny Apple Chips'}),0.004936530324400564,0.006346967559943582,0.004936530324400564,1.0,157.55555555555557,1.0,0.004905198326572916,inf,0.998582565556343,0.7777777777777778,1.0,0.8888888888888888
"frozenset({'Original Beef Jerky', 'Organic String Cheese'})","frozenset({'Pistachios', 'Soda'})",0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
"frozenset({'Pistachios', 'Original Beef Jerky'})",frozenset({'Organic String Cheese'}),0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
"frozenset({'Pistachios', 'Soda'})","frozenset({'Original Beef Jerky', 'Organic String Cheese'})",0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
"frozenset({'Pistachios', 'Original Beef Jerky', 'Soda'})",frozenset({'Organic String Cheese'}),0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
"frozenset({'Original Beef Jerky', 'Organic String Cheese', 'Soda'})",frozenset({'Pistachios'}),0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
"frozenset({'Organic String Cheese', 'Soda'})","frozenset({'Pistachios', 'Original Beef Jerky'})",0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
frozenset({'Organic String Cheese'}),"frozenset({'Pistachios', 'Original Beef Jerky', 'Soda'})",0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
"frozenset({'Pistachios', 'Original Beef Jerky'})","frozenset({'Organic String Cheese', 'Soda'})",0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
frozenset({'Pistachios'}),frozenset({'Organic String Cheese'}),0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
frozenset({'Organic String Cheese'}),frozenset({'Pistachios'}),0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
"frozenset({'Pistachios', 'Soda'})",frozenset({'Organic String Cheese'}),0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
frozenset({'Organic String Cheese'}),"frozenset({'Pistachios', 'Soda'})",0.005641748942172073,0.006346967559943582,0.005641748942172073,1.0,157.55555555555557,1.0,0.005605940944654761,inf,0.999290780141844,0.8888888888888891,1.0,0.9444444444444444
frozenset({'Pistachios'}),"frozenset({'Original Beef Jerky', 'Organic String Cheese'})",0.006346967559943582,0.005641748942172073,0.005641748942172073,0.888888888888889,157.55555555555557,1.0,0.005605940944654761,8.949224259520456,1.0,0.8888888888888891,0.8882584712371947,0.9444444444444444
frozenset({'Organic Dried Granny Apple Chips'}),"frozenset({'Vanilla Skyr Nonfat Yogurt', 'Gluten Free Mushroom Risotto Bowl'})",0.006346967559943582,0.004936530324400564,0.004936530324400564,0.7777777777777778,157.55555555555554,1.0,0.004905198326572916,4.477785613540198,1.0,0.7777777777777778,0.7766753287660446,0.8888888888888888
"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Medium Navel Orange'})","frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Bag of Organic Bananas'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Honey Buns', 'Caramel Cone Ice Cream'})","frozenset({'Creamed Chipped Beef', 'Cran-Apple Juice Drink', 'Bars Peanut Butter'})",0.004936530324400564,0.007052186177715092,0.004936530324400564,1.0,141.79999999999998,1.0,0.004901716993480955,inf,0.9978738483345144,0.7,1.0,0.85
frozenset({'Gluten Free Mushroom Risotto Bowl'}),"frozenset({'Organic Dried Granny Apple Chips', 'Vanilla Skyr Nonfat Yogurt'})",0.007052186177715092,0.004936530324400564,0.004936530324400564,0.7,141.79999999999998,1.0,0.004901716993480955,3.3168782322519976,1.0,0.7,0.6985116938341601,0.85
"frozenset({'Creamed Chipped Beef', 'Bars Peanut Butter'})","frozenset({'Honey Buns', 'Caramel Cone Ice Cream'})",0.007052186177715092,0.004936530324400564,0.004936530324400564,0.7,141.79999999999998,1.0,0.004901716993480955,3.3168782322519976,1.0,0.7,0.6985116938341601,0.85
"frozenset({'Honey Buns', 'Caramel Cone Ice Cream'})","frozenset({'Creamed Chipped Beef', 'Bars Peanut Butter'})",0.004936530324400564,0.007052186177715092,0.004936530324400564,1.0,141.79999999999998,1.0,0.004901716993480955,inf,0.9978738483345144,0.7,1.0,0.85
frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Medium Navel Orange'})",frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Organic Dried Granny Apple Chips', 'Vanilla Skyr Nonfat Yogurt'})",frozenset({'Gluten Free Mushroom Risotto Bowl'}),0.004936530324400564,0.007052186177715092,0.004936530324400564,1.0,141.79999999999998,1.0,0.004901716993480955,inf,0.9978738483345144,0.7,1.0,0.85
"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Bag of Organic Bananas'})","frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Medium Navel Orange'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Medium Navel Orange'})","frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Bag of Organic Bananas'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Medium Navel Orange'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Bag of Organic Bananas', 'Medium Navel Orange'})",frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Medium Navel Orange'})",frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Bag of Organic Bananas', 'Medium Navel Orange'})",frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Bag of Organic Bananas', 'Medium Navel Orange'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Bag of Organic Bananas'})","frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Medium Navel Orange'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Bag of Organic Bananas', 'Medium Navel Orange'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Creamed Chipped Beef', 'Cran-Apple Juice Drink', 'Bars Peanut Butter'})","frozenset({'Honey Buns', 'Caramel Cone Ice Cream'})",0.007052186177715092,0.004936530324400564,0.004936530324400564,0.7,141.79999999999998,1.0,0.004901716993480955,3.3168782322519976,1.0,0.7,0.6985116938341601,0.85
"frozenset({'Creamed Chipped Beef', 'Bars Peanut Butter'})","frozenset({'Honey Buns', 'Caramel Cone Ice Cream', 'Cran-Apple Juice Drink'})",0.007052186177715092,0.004936530324400564,0.004936530324400564,0.7,141.79999999999998,1.0,0.004901716993480955,3.3168782322519976,1.0,0.7,0.6985116938341601,0.85
"frozenset({'Honey Buns', 'Caramel Cone Ice Cream', 'Cran-Apple Juice Drink'})","frozenset({'Creamed Chipped Beef', 'Bars Peanut Butter'})",0.004936530324400564,0.007052186177715092,0.004936530324400564,1.0,141.79999999999998,1.0,0.004901716993480955,inf,0.9978738483345144,0.7,1.0,0.85
frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Medium Navel Orange'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Bag of Organic Bananas'})",frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
frozenset({'Dairy Free Coconut Milk Yogurt Alternative'}),"frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative', 'Bag of Organic Bananas'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Bag of Organic Bananas'})",frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
frozenset({'Dairy Free Coconut Milk Blueberry Yogurt Alternative'}),"frozenset({'Dairy Free Coconut Milk Yogurt Alternative', 'Bag of Organic Bananas'})",0.007052186177715092,0.007052186177715092,0.007052186177715092,1.0,141.79999999999998,1.0,0.007002452847829937,inf,1.0,1.0,1.0,1.0
"frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Orange Sparkling Water', 'Crunch Chocolate Peanut Butter Granola Bar'})","frozenset({'Organic Heritage Flakes Cereal', 'Lemon Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Crunch Chocolate Peanut Butter Granola Bar', 'Lemon Sparkling Water'})","frozenset({'Organic Heritage Flakes Cereal', 'Orange Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Orange Sparkling Water'})","frozenset({'Organic Heritage Flakes Cereal', 'Lemon Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Crunch Chocolate Peanut Butter Granola Bar'})","frozenset({'Organic Heritage Flakes Cereal', 'Lemon Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({'Organic Heritage Flakes Cereal', 'Orange Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})","frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Crunch Chocolate Peanut Butter Granola Bar', 'Lemon Sparkling Water'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Crunch Chocolate Peanut Butter Granola Bar'})","frozenset({'Organic Heritage Flakes Cereal', 'Orange Sparkling Water', 'Lemon Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({'Organic Heritage Flakes Cereal', 'Crunch Chocolate Peanut Butter Granola Bar', 'Lemon Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})","frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Orange Sparkling Water'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({'Organic Heritage Flakes Cereal', 'Orange Sparkling Water', 'Crunch Chocolate Peanut Butter Granola Bar', 'Dark & Mint Filled Chocolate Squares'})","frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Lemon Sparkling Water'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
"frozenset({'Organic Heritage Flakes Cereal', 'Lemon Sparkling Water', 'Dark & Mint Filled Chocolate Squares'})","frozenset({""Annie's Bunny Fruit Snacks Variety"", 'Orange Sparkling Water'})",0.006346967559943582,0.006346967559943582,0.005641748942172073,0.888888888888889,140.0493827160494,1.0,0.005601464944965097,8.942877291960512,0.9992015613910575,0.8,0.88817916568094,0.888888888888889
