support,itemsets
0.009873060648801129,frozenset({'0% Greek Strained Yogurt'})
0.004936530324400564,"frozenset({'100% Juice, Variety Pack'})"
0.009167842031029619,frozenset({'100% Premium Select Not From Concentrate Pure Prune Juice'})
0.005641748942172073,frozenset({'100% Recycled Paper Towels'})
0.014809590973201692,frozenset({'1500 Pale Ale'})
0.007757404795486601,frozenset({'2% Reduced Fat Milk'})
0.009167842031029619,frozenset({'49 Flavors Jelly Belly Jelly Beans'})
0.009167842031029619,frozenset({'80  Vodka Holiday Edition'})
0.00846262341325811,frozenset({'85% Lean Ground Beef'})
0.004936530324400564,frozenset({'Acai Berry Chia Bar'})
0.004936530324400564,frozenset({'Adult Grain-Free & Poultry-Free Dog Food'})
0.010578279266572637,frozenset({'Annie Peely Fruit 4.5 Z'})
0.007757404795486601,"frozenset({""Annie's Bunny Fruit Snacks Variety""})"
0.007052186177715092,frozenset({'Antimo Caputo Flour'})
0.01622002820874471,frozenset({'Apple Honeycrisp Organic'})
0.015514809590973202,frozenset({'Apples'})
0.013399153737658674,frozenset({'Asparagus'})
0.007052186177715092,frozenset({'Asparation/Broccolini/Baby Broccoli'})
0.014809590973201692,frozenset({'Authentic French Brioche'})
0.1325811001410437,frozenset({'Bag of Organic Bananas'})
0.09590973201692525,frozenset({'Banana'})
0.007757404795486601,frozenset({'Bars Peanut Butter'})
0.005641748942172073,frozenset({'Bartlett Pears'})
0.009873060648801129,frozenset({'Blueberries'})
0.005641748942172073,frozenset({'Blueberry Almond Breakfast Bars'})
0.004936530324400564,frozenset({'Blueberry English Tea Scones'})
0.007757404795486601,frozenset({'Blueberry Yoghurt'})
0.005641748942172073,frozenset({'Bold & Crispy Zesties! Crispy Seasoned French Fried Potatoes'})
0.011283497884344146,frozenset({'Boneless Skinless Chicken Breasts'})
0.00846262341325811,frozenset({'Bonne Bouche Ash-Ripened Goat Cheese'})
0.007052186177715092,frozenset({'Boomchickapop Sea Salt Popcorn'})
0.011283497884344146,"frozenset({'Bread, Country Buttermilk'})"
0.009873060648801129,frozenset({'Broccoli Crown'})
0.012693935119887164,frozenset({'Brown Eggs'})
0.007757404795486601,frozenset({'Brussels Sprouts'})
0.012693935119887164,frozenset({'Bunched Cilantro'})
0.011988716502115656,frozenset({'Bunny-Luv Fresh Organic Carrots'})
