week_end_date,mean,max
2019-11-03,55.17,56.04
2019-11-10,56.69,57.04
2019-11-17,56.915,57.54
2019-11-24,56.9,58.36
2019-12-01,58.07,58.25
2019-12-08,57.64,59.2
2019-12-15,59.248000000000005,60.11
2019-12-22,60.75,61.3
2019-12-29,61.29,61.76
2020-01-05,61.7425,63.0
2020-01-12,60.839999999999996,63.27
2020-01-19,58.288,58.55
2020-01-26,56.1525,58.25
2020-02-02,52.696000000000005,53.33
2020-02-09,50.36,50.94
2020-02-16,50.832,52.03
2020-02-23,53.135000000000005,53.77
2020-03-01,48.362,51.36
2020-03-08,45.574,47.27
2020-03-15,32.386,34.47
2020-03-22,24.194,28.96
2020-03-29,19.438,23.33
2020-04-05,21.686,28.36
2020-04-12,24.405,26.21
2020-04-19,20.119999999999997,22.36
2020-04-26,3.3240000000000007,15.99
2020-05-03,15.712,19.72
2020-05-10,23.464,24.73
2020-05-17,26.398000000000003,29.44
2020-05-24,33.096,34.3
2020-05-31,34.185,35.57
2020-06-07,37.322,39.49
2020-06-14,37.872,39.54
2020-06-21,38.35,39.72
2020-06-28,39.22,40.6
2020-07-05,39.847500000000004,40.57
2020-07-12,40.442,40.91
2020-07-19,40.57,41.2
2020-07-26,41.338,41.88
2020-08-02,40.686,41.46
2020-08-09,41.568,42.25
2020-08-16,42.076,42.6
2020-08-23,42.726,42.91
2020-08-30,42.932,43.21
2020-09-06,41.842,42.76
2020-09-13,37.375,38.05
2020-09-20,39.554,41.09
2020-09-27,39.78,40.11
2020-10-04,38.992,40.47
2020-10-11,40.188,41.04
2020-10-18,40.33,40.86
2020-10-25,40.426,41.37
2020-11-01,37.316,39.34
2020-11-08,37.708,38.97
2020-11-15,40.658,41.23
2020-11-22,41.516000000000005,41.99
2020-11-29,44.4,45.58
2020-12-06,45.37,46.23
2020-12-13,46.038,46.76
2020-12-20,47.968,49.04
2020-12-27,47.7325,48.18
2021-01-03,47.985,48.35
2021-01-10,50.094,52.14
2021-01-17,52.751999999999995,53.47
2021-01-24,52.8275,53.16
2021-01-31,52.524,52.81
2021-02-07,55.396,56.8
2021-02-14,58.54,59.5
2021-02-21,60.17,61.09
2021-02-28,62.303999999999995,63.43
2021-03-07,62.29200000000001,66.08
2021-03-14,65.022,66.02
2021-03-21,63.222,65.36
2021-03-28,59.95,61.48
2021-04-04,60.66,61.49
2021-04-11,59.348,59.77
2021-04-18,61.926,63.42
2021-04-25,62.182,63.33
2021-05-02,63.472,65.0
2021-05-09,65.1,65.72
2021-05-16,65.066,65.96
2021-05-23,64.114,66.24
2021-05-30,66.398,66.87
2021-06-06,68.7425,69.57
2021-06-13,70.112,71.0
2021-06-20,71.546,72.06
2021-06-27,73.48400000000001,74.21
2021-07-04,74.06800000000001,75.37
2021-07-11,73.345,74.56
2021-07-18,73.188,75.24
2021-07-25,69.684,72.24
2021-08-01,72.75,73.93
2021-08-08,69.5,71.31
2021-08-15,68.334,69.3
2021-08-22,65.048,67.44
2021-08-29,67.59,68.84
2021-09-05,69.15,70.07
2021-09-12,68.9825,69.82
2021-09-19,71.688,72.69
2021-09-26,72.18,74.18
2021-10-03,75.454,76.01
2021-10-10,78.50399999999999,79.55
2021-10-17,81.176,82.39
2021-10-24,83.476,84.53
2021-10-31,83.84400000000001,85.64
2021-11-07,81.788,84.08
2021-11-14,81.92999999999999,84.12
2021-11-21,78.99199999999999,80.85
2021-11-28,77.79333333333334,78.32
2021-12-05,66.89,69.88
2021-12-12,71.314,72.43
2021-12-19,71.184,72.34
2021-12-26,71.625,73.89
2022-01-02,76.048,76.83
2022-01-09,77.85799999999999,79.47
2022-01-16,81.51599999999999,83.82
